FOLIO,FECHA,HORA,MINUTO,TIPO,VIOLENCIA,LATITUD,LONGITUD,DISTRITO,CUADRANTE,DIA,MES,ESTACION,AÑO
75306,2015-01-05,99,99,ROBO A NEGOCIO,SI,28.596624,-106.017269,Morelos,56,5,1,Invierno,2015
78662,2015-01-05,99,99,ROBO A CASA HABITACION,NO,28.665337,-106.073273,Villa,26,5,1,Invierno,2015
83513,2015-01-05,99,99,ROBO A CASA HABITACION,NO,28.657568,-106.125338,Diana,29,5,1,Invierno,2015
472648SO,2015-01-05,99,99,ROBO A NEGOCIO,NO,28.637085,-106.063256,Zapata,71,5,1,Invierno,2015
63623X,2015-01-06,99,99,ROBO A CASA HABITACION,NO,28.773661,-106.16477,Colón,3,6,1,Invierno,2015
80701,2015-01-06,99,99,ROBO A CASA HABITACION,NO,28.67823,-106.114086,Villa,22,6,1,Invierno,2015
007310D,2015-01-06,99,99,ROBO A NEGOCIO,NO,28.672364,-105.99835,Morelos,47,6,1,Invierno,2015
80671X,2015-01-06,99,99,ROBO A NEGOCIO,SI,28.683472,-106.096661,Villa,24,6,1,Invierno,2015
45643SP,2015-01-06,99,99,ROBO DE VEHICULO,SI,28.725195,-106.111266,Colón,13,6,1,Invierno,2015
27827SP,2015-01-06,99,99,ROBO A NEGOCIO,SI,28.602956,-106.032078,Morelos,55,6,1,Invierno,2015
45724SP,2015-01-06,99,99,ROBO A CASA HABITACION,NO,28.726107,-106.127525,Colón,13,6,1,Invierno,2015
47798SP,2015-01-06,99,99,ROBO A CASA HABITACION,NO,28.684314,-106.035525,Morelos,45,6,1,Invierno,2015
24211SP,2015-01-06,99,99,ROBO DE VEHICULO,SI,28.599322,-106.099447,Zapata,73,6,1,Invierno,2015
76241,2015-01-06,99,99,ROBO A CASA HABITACION,NO,28.653281,-106.094494,Villa,25,6,1,Invierno,2015
72475,2015-01-07,99,99,ROBO A NEGOCIO,NO,28.676686,-106.102045,Villa,24,7,1,Invierno,2015
013625SP,2015-01-07,99,99,ROBO A CASA HABITACION,NO,28.605439,-106.101924,Zapata,68,7,1,Invierno,2015
81701,2015-01-07,99,99,ROBO A NEGOCIO,SI,28.65079,-106.09897,Diana,31,7,1,Invierno,2015
015459SP,2015-01-07,99,99,ROBO A NEGOCIO,SI,28.71757,-106.151012,Colón,12,7,1,Invierno,2015
134599C,2015-01-07,99,99,ROBO DE VEHICULO,SI,28.677179,-106.13525,Diana,28,7,1,Invierno,2015
81401,2015-01-07,99,99,ROBO A NEGOCIO,SI,28.674287,-106.107321,Villa,22,7,1,Invierno,2015
26636SP,2015-01-07,99,99,ROBO A NEGOCIO,NO,28.657274,-106.100747,Villa,25,7,1,Invierno,2015
198909C,2015-01-07,99,99,ROBO A CASA HABITACION,NO,28.693132,-106.101828,Villa,20,7,1,Invierno,2015
500024SO,2015-01-07,99,99,ROBO DE VEHICULO,NO,28.738373,-106.130688,Colón,8,7,1,Invierno,2015
61852,2015-01-07,99,99,ROBO A NEGOCIO,NO,28.620368,-106.02831,Morelos,55,7,1,Invierno,2015
